ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"SWTXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Investor Shares",0.0034,"1231","Muni",4551631042.29,"Retail",0,27,29,"2025-05-31",0.0222,"2025-05-30",0,0,0,0,0,0,0,0.50402,0.11914,0,0,0,0,0,0,0,0.21026,0.16658,0,0,1
"SWTXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Investor Shares",0.0034,"1231","Muni",4509007077.85,"Retail",0,24,25,"2025-04-30",0.0303,"2025-04-30",0,0,0,0,0,0,0,0.54665,0.10639,0,0,0,0,0,0,0,0.19587,0.15109,0,0,1
"SWTXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Investor Shares",0.0034,"1231","Muni",4327985452.34,"Retail",0,25,26,"2025-03-31",0.0276,"2025-03-31",0,0,0,0,0,0,0,0.55148,0.09251,0,0,0,0,0,0,0,0.19932,0.15668,0,0,1
"SWTXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Investor Shares",0.0034,"1231","Muni",4234516471.82,"Retail",0,26,27,"2025-02-28",0.0197,"2025-02-28",0,0,0,0,0,0,0,0.56277,0.08913,0,0,0,0,0,0,0,0.19414,0.15396,0,0,1
"SWTXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Investor Shares",0.0034,"1231","Muni",4224348877.92,"Retail",0,24,25,"2025-01-31",0.0219,"2025-01-31",0,0,0,0,0,0,0,0.57921,0.09463,0,0,0,0,0,0,0,0.17881,0.14735,0,0,1
"SWTXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Investor Shares",,"1231","Muni",4296140873.24,"Retail",0,26,28,"2024-12-31",0.0329,"2024-12-31",0,0,0,0,0,0,0,0.59368,0.08943,0,0,0,0,0,0,0,0.17897,0.13792,0,0,1
"SWTXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Investor Shares",,"1231","Muni",4174845376.56,"Retail",0,29,31,"2024-11-30",0.0276,"2024-11-29",0,0,0,0,0,0,0,0.57463,0.09069,0,0,0,0,0,0,0,0.19314,0.14153,0,0,1
"SWTXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Investor Shares",,"1231","Muni",4155405105.44,"Retail",0,30,31,"2024-10-31",0.0315,"2024-10-31",0,0,0,0,0,0,0,0.59897,0.08528,0,0,0,0,0,0,0,0.18001,0.13575,0,0,1
"SWTXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Investor Shares",,"1231","Muni",4103304627.55,"Retail",0,29,30,"2024-09-30",0.0302,"2024-09-30",0,0,0,0,0,0,0,0.61023,0.07309,0,0,0,0,0,0,0,0.17485,0.14183,0,0,1
"SWTXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Investor Shares",,"1231","Muni",3989919352.19,"Retail",0,30,32,"2024-08-31",0.0291,"2024-08-30",0,0,0,0,0,0,0,0.61823,0.07213,0,0,0,0,0,0,0,0.1715,0.13813,0,0,1
